X, Ch1,
0,-4.000000e-02,
1,8.000000e-02,
2,-4.000000e-02,
3,8.000000e-02,
4,-4.000000e-02,
5,8.000000e-02,
6,1.000000e-01,
7,-6.000000e-02,
8,8.000000e-02,
9,-4.000000e-02,
10,8.000000e-02,
11,-4.000000e-02,
12,-4.000000e-02,
13,8.000000e-02,
14,-4.000000e-02,
15,1.000000e-01,
16,8.000000e-02,
17,-6.000000e-02,
18,1.000000e-01,
19,-4.000000e-02,
20,-4.000000e-02,
21,8.000000e-02,
22,-4.000000e-02,
23,1.000000e-01,
24,1.000000e-01,
25,-4.000000e-02,
26,-4.000000e-02,
27,8.000000e-02,
28,-4.000000e-02,
29,8.000000e-02,
30,-6.000000e-02,
31,1.000000e-01,
32,8.000000e-02,
33,-4.000000e-02,
34,8.000000e-02,
35,-4.000000e-02,
36,-4.000000e-02,
37,8.000000e-02,
38,-4.000000e-02,
39,8.000000e-02,
40,-4.000000e-02,
41,1.000000e-01,
42,-4.000000e-02,
43,8.000000e-02,
44,-4.000000e-02,
45,8.000000e-02,
46,1.000000e-01,
47,-4.000000e-02,
48,-4.000000e-02,
49,8.000000e-02,
50,-4.000000e-02,
51,8.000000e-02,
52,-6.000000e-02,
53,6.000000e-02,
54,-4.000000e-02,
55,1.000000e-01,
56,8.000000e-02,
57,-6.000000e-02,
58,1.000000e-01,
59,-6.000000e-02,
60,-4.000000e-02,
61,1.000000e-01,
62,8.000000e-02,
63,-6.000000e-02,
64,8.000000e-02,
65,-4.000000e-02,
66,-4.000000e-02,
67,8.000000e-02,
68,-4.000000e-02,
69,1.000000e-01,
70,-4.000000e-02,
71,8.000000e-02,
72,-6.000000e-02,
73,1.000000e-01,
74,-4.000000e-02,
75,1.000000e-01,
76,-6.000000e-02,
77,1.000000e-01,
78,-4.000000e-02,
79,8.000000e-02,
80,-4.000000e-02,
81,8.000000e-02,
82,1.000000e-01,
83,-4.000000e-02,
84,-4.000000e-02,
85,1.200000e-01,
86,1.200000e-01,
87,-4.000000e-02,
88,0.000000e+00,
89,1.400000e-01,
90,2.000000e-02,
91,1.600000e-01,
92,6.000000e-02,
93,2.400000e-01,
94,1.200000e-01,
95,3.400000e-01,
96,2.400000e-01,
97,3.600000e-01,
98,3.600000e-01,
99,1.600000e-01,
100,2.600000e-01,
101,4.000000e-02,
102,1.400000e-01,
103,-8.000000e-02,
104,0.000000e+00,
105,-2.200000e-01,
106,-1.600000e-01,
107,-3.600000e-01,
108,-3.600000e-01,
109,-2.200000e-01,
110,-3.000000e-01,
111,-1.000000e-01,
112,-2.000000e-01,
113,0.000000e+00,
114,-1.000000e-01,
115,6.000000e-02,
116,-6.000000e-02,
117,6.000000e-02,
118,-4.000000e-02,
119,8.000000e-02,
120,-4.000000e-02,
121,8.000000e-02,
122,-6.000000e-02,
123,1.000000e-01,
124,-4.000000e-02,
125,8.000000e-02,
126,-4.000000e-02,
127,8.000000e-02,
128,-4.000000e-02,
129,1.000000e-01,
130,1.000000e-01,
131,-6.000000e-02,
132,-6.000000e-02,
133,1.000000e-01,
134,-4.000000e-02,
135,1.000000e-01,
136,8.000000e-02,
137,-6.000000e-02,
138,8.000000e-02,
139,-4.000000e-02,
140,1.000000e-01,
141,-4.000000e-02,
142,-4.000000e-02,
143,8.000000e-02,
144,-4.000000e-02,
145,1.000000e-01,
146,8.000000e-02,
147,-4.000000e-02,
148,-4.000000e-02,
149,8.000000e-02,
150,-4.000000e-02,
151,1.000000e-01,
152,8.000000e-02,
153,-4.000000e-02,
154,8.000000e-02,
155,-6.000000e-02,
156,8.000000e-02,
157,-4.000000e-02,
158,-4.000000e-02,
159,8.000000e-02,
160,-4.000000e-02,
161,8.000000e-02,
162,-4.000000e-02,
163,1.000000e-01,
164,8.000000e-02,
165,-4.000000e-02,
166,-4.000000e-02,
167,1.000000e-01,
168,-4.000000e-02,
169,8.000000e-02,
170,8.000000e-02,
171,-6.000000e-02,
172,-4.000000e-02,
173,8.000000e-02,
174,-4.000000e-02,
175,8.000000e-02,
176,-4.000000e-02,
177,8.000000e-02,
178,1.000000e-01,
179,-6.000000e-02,
180,-4.000000e-02,
181,8.000000e-02,
182,-4.000000e-02,
183,8.000000e-02,
184,-4.000000e-02,
185,8.000000e-02,
186,-4.000000e-02,
187,8.000000e-02,
188,-4.000000e-02,
189,8.000000e-02,
190,-6.000000e-02,
191,8.000000e-02,
192,1.000000e-01,
193,-4.000000e-02,
194,-4.000000e-02,
195,1.000000e-01,
196,-4.000000e-02,
197,1.000000e-01,
198,-4.000000e-02,
199,1.000000e-01,
200,-4.000000e-02,
201,1.000000e-01,
202,-4.000000e-02,
203,1.000000e-01,
204,-2.000000e-02,
205,1.400000e-01,
206,2.000000e-02,
207,1.600000e-01,
208,6.000000e-02,
209,2.600000e-01,
210,1.600000e-01,
211,3.800000e-01,
212,4.000000e-01,
213,2.600000e-01,
214,3.400000e-01,
215,1.200000e-01,
216,2.600000e-01,
217,-2.000000e-02,
218,8.000000e-02,
219,-1.200000e-01,
220,-6.000000e-02,
221,-2.600000e-01,
222,-1.800000e-01,
223,-3.200000e-01,
224,-3.200000e-01,
225,-1.600000e-01,
226,-2.600000e-01,
227,-6.000000e-02,
228,-1.600000e-01,
229,2.000000e-02,
230,-1.000000e-01,
231,6.000000e-02,
232,8.000000e-02,
233,-8.000000e-02,
234,-6.000000e-02,
235,8.000000e-02,
236,-4.000000e-02,
237,8.000000e-02,
238,8.000000e-02,
239,-6.000000e-02,
240,6.000000e-02,
241,-6.000000e-02,
242,-4.000000e-02,
243,8.000000e-02,
244,8.000000e-02,
245,-4.000000e-02,
246,8.000000e-02,
247,-6.000000e-02,
248,-4.000000e-02,
249,8.000000e-02,
250,-4.000000e-02,
251,1.000000e-01,
252,1.000000e-01,
253,-4.000000e-02,
254,-4.000000e-02,
255,8.000000e-02,
256,-4.000000e-02,
257,8.000000e-02,
258,-4.000000e-02,
259,8.000000e-02,
260,-4.000000e-02,
261,1.000000e-01,
262,-4.000000e-02,
263,1.000000e-01,
264,-4.000000e-02,
265,1.000000e-01,
266,-6.000000e-02,
267,1.000000e-01,
268,8.000000e-02,
269,-4.000000e-02,
270,-4.000000e-02,
271,8.000000e-02,
272,-4.000000e-02,
273,8.000000e-02,
274,-4.000000e-02,
275,8.000000e-02,
276,-4.000000e-02,
277,8.000000e-02,
278,-4.000000e-02,
279,8.000000e-02,
280,-6.000000e-02,
281,1.000000e-01,
282,-4.000000e-02,
283,1.000000e-01,
284,-4.000000e-02,
285,1.000000e-01,
286,8.000000e-02,
287,-6.000000e-02,
288,8.000000e-02,
289,-4.000000e-02,
290,-6.000000e-02,
291,1.000000e-01,
292,8.000000e-02,
293,-4.000000e-02,
294,8.000000e-02,
295,-4.000000e-02,
296,-4.000000e-02,
297,8.000000e-02,
298,-6.000000e-02,
299,8.000000e-02,
300,-4.000000e-02,
301,8.000000e-02,
302,-4.000000e-02,
303,8.000000e-02,
304,-4.000000e-02,
305,8.000000e-02,
306,-4.000000e-02,
307,8.000000e-02,
308,-4.000000e-02,
309,8.000000e-02,
310,-4.000000e-02,
311,1.000000e-01,
312,8.000000e-02,
313,-4.000000e-02,
314,-4.000000e-02,
315,1.000000e-01,
316,-4.000000e-02,
317,1.000000e-01,
318,-4.000000e-02,
319,1.000000e-01,
320,-4.000000e-02,
321,1.200000e-01,
322,-2.000000e-02,
323,1.400000e-01,
324,2.000000e-02,
325,1.800000e-01,
326,8.000000e-02,
327,2.400000e-01,
328,1.400000e-01,
329,3.400000e-01,
330,2.400000e-01,
331,3.600000e-01,
332,3.400000e-01,
333,1.600000e-01,
334,2.200000e-01,
335,4.000000e-02,
336,1.200000e-01,
337,-1.000000e-01,
338,0.000000e+00,
339,-2.400000e-01,
340,-1.800000e-01,
341,-3.400000e-01,
342,-3.400000e-01,
343,-2.000000e-01,
344,-2.800000e-01,
345,-1.000000e-01,
346,-1.800000e-01,
347,0.000000e+00,
348,-1.000000e-01,
349,2.000000e-02,
350,4.000000e-02,
351,-8.000000e-02,
352,-6.000000e-02,
353,6.000000e-02,
354,8.000000e-02,
355,-6.000000e-02,
356,-6.000000e-02,
357,8.000000e-02,
358,-4.000000e-02,
359,1.000000e-01,
360,8.000000e-02,
361,-4.000000e-02,
362,8.000000e-02,
363,-4.000000e-02,
364,-6.000000e-02,
365,1.000000e-01,
366,-4.000000e-02,
367,1.000000e-01,
368,8.000000e-02,
369,-6.000000e-02,
370,-4.000000e-02,
371,1.000000e-01,
372,-4.000000e-02,
373,8.000000e-02,
374,8.000000e-02,
375,-4.000000e-02,
376,-4.000000e-02,
377,8.000000e-02,
378,-4.000000e-02,
379,8.000000e-02,
380,-4.000000e-02,
381,8.000000e-02,
382,8.000000e-02,
383,-6.000000e-02,
384,-4.000000e-02,
385,8.000000e-02,
386,-6.000000e-02,
387,1.000000e-01,
388,-4.000000e-02,
389,8.000000e-02,
390,8.000000e-02,
391,-4.000000e-02,
392,-4.000000e-02,
393,1.000000e-01,
394,-4.000000e-02,
395,8.000000e-02,
396,-4.000000e-02,
397,8.000000e-02,
398,-4.000000e-02,
399,1.000000e-01,
400,-4.000000e-02,
401,8.000000e-02,
402,-2.000000e-02,
403,8.000000e-02,
404,-4.000000e-02,
405,1.000000e-01,
406,8.000000e-02,
407,-4.000000e-02,
